round,race_name,date,position,grid,points,status,driver_code,constructor
1,Australian Grand Prix,2026-03-08,1,1,25,Finished,RUS,Mercedes
1,Australian Grand Prix,2026-03-08,2,2,18,Finished,ANT,Mercedes
1,Australian Grand Prix,2026-03-08,3,4,15,Finished,LEC,Ferrari
1,Australian Grand Prix,2026-03-08,4,7,12,Finished,HAM,Ferrari
1,Australian Grand Prix,2026-03-08,5,6,10,Finished,NOR,McLaren
1,Australian Grand Prix,2026-03-08,6,20,8,Finished,VER,Red Bull
1,Australian Grand Prix,2026-03-08,7,12,6,Lapped,BEA,Haas F1 Team
1,Australian Grand Prix,2026-03-08,8,9,4,Lapped,LIN,RB F1 Team
1,Australian Grand Prix,2026-03-08,9,10,2,Lapped,BOR,Audi
1,Australian Grand Prix,2026-03-08,10,14,1,Lapped,GAS,Alpine F1 Team
1,Australian Grand Prix,2026-03-08,11,13,0,Lapped,OCO,Haas F1 Team
1,Australian Grand Prix,2026-03-08,12,15,0,Lapped,ALB,Williams
1,Australian Grand Prix,2026-03-08,13,8,0,Lapped,LAW,RB F1 Team
1,Australian Grand Prix,2026-03-08,14,16,0,Lapped,COL,Alpine F1 Team
1,Australian Grand Prix,2026-03-08,15,21,0,Lapped,SAI,Williams
1,Australian Grand Prix,2026-03-08,16,18,0,Lapped,PER,Cadillac F1 Team
1,Australian Grand Prix,2026-03-08,17,22,0,Lapped,STR,Aston Martin
1,Australian Grand Prix,2026-03-08,18,17,0,Retired,ALO,Aston Martin
1,Australian Grand Prix,2026-03-08,19,19,0,Retired,BOT,Cadillac F1 Team
1,Australian Grand Prix,2026-03-08,20,3,0,Retired,HAD,Red Bull
1,Australian Grand Prix,2026-03-08,21,5,0,Did not start,PIA,McLaren
1,Australian Grand Prix,2026-03-08,22,11,0,Did not start,HUL,Audi
2,Chinese Grand Prix,2026-03-15,1,1,25,Finished,ANT,Mercedes
2,Chinese Grand Prix,2026-03-15,2,2,18,Finished,RUS,Mercedes
2,Chinese Grand Prix,2026-03-15,3,3,15,Finished,HAM,Ferrari
2,Chinese Grand Prix,2026-03-15,4,4,12,Finished,LEC,Ferrari
2,Chinese Grand Prix,2026-03-15,5,10,10,Finished,BEA,Haas F1 Team
2,Chinese Grand Prix,2026-03-15,6,7,8,Finished,GAS,Alpine F1 Team
2,Chinese Grand Prix,2026-03-15,7,14,6,Finished,LAW,RB F1 Team
2,Chinese Grand Prix,2026-03-15,8,9,4,Finished,HAD,Red Bull
2,Chinese Grand Prix,2026-03-15,9,17,2,Lapped,SAI,Williams
