round,name,date,country
1,Australian Grand Prix,2026-03-08,Australia
2,Chinese Grand Prix,2026-03-15,China
3,Japanese Grand Prix,2026-03-29,Japan
4,Miami Grand Prix,2026-05-03,USA
5,Canadian Grand Prix,2026-05-24,Canada
6,Monaco Grand Prix,2026-06-07,Monaco
7,Barcelona Grand Prix,2026-06-14,Spain
8,Austrian Grand Prix,2026-06-28,Austria
9,British Grand Prix,2026-07-05,UK
10,Belgian Grand Prix,2026-07-19,Belgium
11,Hungarian Grand Prix,2026-07-26,Hungary
12,Dutch Grand Prix,2026-08-23,Netherlands
13,Italian Grand Prix,2026-09-06,Italy
14,Spanish Grand Prix,2026-09-13,Spain
15,Azerbaijan Grand Prix,2026-09-26,Azerbaijan
16,Singapore Grand Prix,2026-10-11,Singapore
17,United States Grand Prix,2026-10-25,USA
18,Mexico City Grand Prix,2026-11-01,Mexico
19,Brazilian Grand Prix,2026-11-08,Brazil
20,Las Vegas Grand Prix,2026-11-22,USA
21,Qatar Grand Prix,2026-11-29,Qatar
22,Abu Dhabi Grand Prix,2026-12-06,UAE
